"Leeftijd";"Marges";"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Hoog risico op angst of depressie (%)";"Moeite met rondkomen (%)"
"18 tot 65 jaar";"Waarde";"2012";"Bloemgrachtbuurt";"Amsterdam                               ";"Buurt     ";"BU03630602          ";"     5.9";"    29.3"
"18 tot 65 jaar";"Waarde";"2012";"Marnixbuurt Noord";"Amsterdam                               ";"Buurt     ";"BU03630603          ";"     8.4";"    37.5"
"18 tot 65 jaar";"Waarde";"2012";"Zaagpoortbuurt";"Amsterdam                               ";"Buurt     ";"BU03630604          ";"     8.2";"    39.8"
"18 tot 65 jaar";"Waarde";"2012";"Marnixbuurt Midden";"Amsterdam                               ";"Buurt     ";"BU03630605          ";"     5.1";"    29.2"
"18 tot 65 jaar";"Waarde";"2012";"Elandsgrachtbuurt";"Amsterdam                               ";"Buurt     ";"BU03630606          ";"     6.8";"    31.8"
"18 tot 65 jaar";"Waarde";"2012";"Passeerdersgrachtbuurt";"Amsterdam                               ";"Buurt     ";"BU03630607          ";"     6.6";"    28.4"
"18 tot 65 jaar";"Waarde";"2012";"Groenmarktkadebuurt";"Amsterdam                               ";"Buurt     ";"BU03630608          ";"     6.3";"    32.0"
"18 tot 65 jaar";"Waarde";"2012";"Marnixbuurt Zuid";"Amsterdam                               ";"Buurt     ";"BU03630609          ";"     7.9";"    37.7"
"18 tot 65 jaar";"Waarde";"2012";"Anjeliersbuurt Noord";"Amsterdam                               ";"Buurt     ";"BU03630610          ";"     6.0";"    28.9"
"18 tot 65 jaar";"Waarde";"2012";"Anjeliersbuurt Zuid";"Amsterdam                               ";"Buurt     ";"BU03630611          ";"     7.0";"    32.8"
"18 tot 65 jaar";"Waarde";"2012";"De Weteringschans";"Amsterdam                               ";"Wijk      ";"WK036307            ";"     5.7";"    26.6"
"18 tot 65 jaar";"Waarde";"2012";"Leidsebuurt Noordwest";"Amsterdam                               ";"Buurt     ";"BU03630700          ";"     5.6";"    27.7"
"18 tot 65 jaar";"Waarde";"2012";"Leidsebuurt Zuidwest";"Amsterdam                               ";"Buurt     ";"BU03630701          ";"     5.9";"    34.7"
"18 tot 65 jaar";"Waarde";"2012";"Leidsebuurt Noordoost";"Amsterdam                               ";"Buurt     ";"BU03630702          ";"     6.0";"    30.1"
"18 tot 65 jaar";"Waarde";"2012";"Leidsebuurt Zuidoost";"Amsterdam                               ";"Buurt     ";"BU03630703          ";"     5.9";"    27.5"
"18 tot 65 jaar";"Waarde";"2012";"Weteringbuurt";"Amsterdam                               ";"Buurt     ";"BU03630704          ";"     5.7";"    27.5"
"18 tot 65 jaar";"Waarde";"2012";"Den Texbuurt";"Amsterdam                               ";"Buurt     ";"BU03630705          ";"     5.6";"    25.5"
"18 tot 65 jaar";"Waarde";"2012";"Utrechtsebuurt Zuid";"Amsterdam                               ";"Buurt     ";"BU03630706          ";"     5.6";"    25.1"
"18 tot 65 jaar";"Waarde";"2012";"Frederikspleinbuurt";"Amsterdam                               ";"Buurt     ";"BU03630707          ";"     5.0";"    21.4"
"18 tot 65 jaar";"Waarde";"2012";"Weesperbuurt/Plantage";"Amsterdam                               ";"Wijk      ";"WK036308            ";"     6.5";"    29.5"
"18 tot 65 jaar";"Waarde";"2012";"Weesperbuurt";"Amsterdam                               ";"Buurt     ";"BU03630800          ";"     6.8";"    31.1"
"18 tot 65 jaar";"Waarde";"2012";"Sarphatistrook";"Amsterdam                               ";"Buurt     ";"BU03630801          ";"     6.8";"    31.2"
"18 tot 65 jaar";"Waarde";"2012";"de Plantage";"Amsterdam                               ";"Buurt     ";"BU03630803          ";"     5.7";"    26.0"
"18 tot 65 jaar";"Waarde";"2012";"Alexanderplein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630804          ";"     5.6";"    26.0"
"18 tot 65 jaar";"Waarde";"2012";"Oostelijke Eilanden/Kadijken";"Amsterdam                               ";"Wijk      ";"WK036309            ";"     7.8";"    33.9"
"18 tot 65 jaar";"Waarde";"2012";"Marine-Etablissement";"Amsterdam                               ";"Buurt     ";"BU03630900          ";"     5.1";"    21.7"
"18 tot 65 jaar";"Waarde";"2012";"Kattenburg";"Amsterdam                               ";"Buurt     ";"BU03630901          ";"     8.1";"    39.1"
"18 tot 65 jaar";"Waarde";"2012";"Wittenburg";"Amsterdam                               ";"Buurt     ";"BU03630902          ";"     8.4";"    35.1"
"18 tot 65 jaar";"Waarde";"2012";"Oostenburg";"Amsterdam                               ";"Buurt     ";"BU03630903          ";"     9.2";"    37.7"
"18 tot 65 jaar";"Waarde";"2012";"Czaar Peterbuurt";"Amsterdam                               ";"Buurt     ";"BU03630904          ";"     8.8";"    39.2"
"18 tot 65 jaar";"Waarde";"2012";"Het Funen";"Amsterdam                               ";"Buurt     ";"BU03630905          ";"     5.8";"    25.1"
"18 tot 65 jaar";"Waarde";"2012";"Kazernebuurt";"Amsterdam                               ";"Buurt     ";"BU03630907          ";"     7.9";"    33.1"
"18 tot 65 jaar";"Waarde";"2012";"Kadijken";"Amsterdam                               ";"Buurt     ";"BU03630908          ";"     6.5";"    28.9"
"18 tot 65 jaar";"Waarde";"2012";"Westelijk Havengebied";"Amsterdam                               ";"Wijk      ";"WK036310            ";"     7.7";"    42.2"
"18 tot 65 jaar";"Waarde";"2012";"Coenhaven/Mercuriushaven";"Amsterdam                               ";"Buurt     ";"BU03631000          ";"     4.1";"    29.8"
"18 tot 65 jaar";"Waarde";"2012";"Alfa-driehoek";"Amsterdam                               ";"Buurt     ";"BU03631001          ";"       .";"       ."
"18 tot 65 jaar";"Waarde";"2012";"Petroleumhaven";"Amsterdam                               ";"Buurt     ";"BU03631002          ";"     5.0";"    35.3"
"18 tot 65 jaar";"Waarde";"2012";"Westhaven Noord";"Amsterdam                               ";"Buurt     ";"BU03631003          ";"     6.6";"    39.4"
